game_type,mistake_type,events,weighted_count
find_previous_next_number,RangeUncertainty,116,117
vertical_operations,ComputationError,37,39
choose_answer,MisidentifiedOperation,36,36
read_number_aloud,WrongAnswer,11,33
order_numbers,ReversedAscending,20,30
order_numbers,ReversedDescending,17,22
order_numbers,MultipleMisplacements,13,13
choose_answer,ComputationError,12,12
find_previous_next_number,TensTransitionMistake,4,9
find_previous_next_number,AboveThresholdWeakness,2,7
compare_numbers,ReversedSign,6,6
find_previous_next_number,AddedTen,2,6
find_previous_next_number,MissingNext,2,6
decompose_number,IncorrectValues,5,5
what_number_do_you_hear,DigitLengthMistake,5,5
find_previous_next_number,MissingPrevious,2,4
write_number_in_letters,RepeatedWritingMistake,1,3
find_previous_next_number,RepeatedNumber,1,2
identify_place_value,PlaceValueMisidentification,1,2
order_numbers,OneMisplacedNumber,1,1
